date,currp,openp,highp,lowp,change
2016_ 06_ 23_,1141.75,1148.28,1153.70,1140.09,-0.01
2016_ 06_ 22_,1149.28,1152.19,1158.40,1145.09,0.00
2016_ 06_ 21_,1153.55,1158.59,1163.76,1149.89,-0.01
2016_ 06_ 20_,1159.89,1169.25,1170.72,1154.54,-0.01
2016_ 06_ 17_,1170.46,1171.65,1177.90,1166.20,0.00
2016_ 06_ 16_,1172.65,1167.79,1179.37,1166.52,0.00
2016_ 06_ 15_,1169.14,1175.35,1181.15,1164.89,-0.01
2016_ 06_ 14_,1176.35,1171.44,1182.20,1169.61,0.00
2016_ 06_ 13_,1172.44,1170.10,1175.97,1167.22,0.00
2016_ 06_ 10_,1171.53,1157.99,1172.95,1156.59,0.01
2016_ 06_ 09_,1159.35,1153.25,1162.81,1150.47,0.00
2016_ 06_ 08_,1154.25,1154.99,1159.65,1149.89,0.00
2016_ 06_ 07_,1156.30,1161.69,1167.01,1152.19,-0.01
2016_ 06_ 06_,1162.99,1163.90,1168.86,1159.89,0.00
2016_ 06_ 03_,1163.55,1185.81,1190.56,1161.99,-0.02
2016_ 06_ 02_,1186.81,1191.37,1194.96,1184.38,0.00
2016_ 06_ 01_,1192.37,1188.39,1196.40,1187.25,0.00
2016_ 05_ 31_,1189.74,1188.90,1194.55,1186.85,0.00
2016_ 05_ 30_,1193.39,1185.94,1193.81,1185.25,0.01
2016_ 05_ 27_,1186.25,1178.69,1187.50,1176.39,0.01
2016_ 05_ 26_,1180.05,1180.49,1186.06,1172.89,0.00
2016_ 05_ 25_,1181.85,1186.89,1191.65,1178.69,-0.01
2016_ 05_ 24_,1188.24,1181.89,1195.22,1181.19,0.00
2016_ 05_ 23_,1183.24,1189.95,1191.32,1180.80,0.00
2016_ 05_ 20_,1186.20,1186.48,1192.85,1184.47,0.00
2016_ 05_ 19_,1187.48,1188.19,1193.30,1185.89,0.00
2016_ 05_ 18_,1189.55,1176.24,1193.54,1173.79,0.01
2016_ 05_ 17_,1177.24,1177.20,1179.18,1170.39,0.00
